//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 4-8-2026
//--  Time: 15:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0.5, 5     AFR:8.5, 18
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	7.44	74 	0.000
1	7.45	75 	0.005
2	7.47	75 	0.010
3	7.48	75 	0.015
4	7.49	75 	0.020
5	7.50	75 	0.024
6	7.51	75 	0.029
7	7.52	75 	0.034
8	7.53	75 	0.039
9	7.54	75 	0.044
10	7.55	75 	0.049
11	7.56	76 	0.054
12	7.57	76 	0.059
13	7.58	76 	0.063
14	7.59	76 	0.068
15	7.60	76 	0.073
16	7.61	76 	0.078
17	7.62	76 	0.083
18	7.63	76 	0.088
19	7.64	76 	0.093
20	7.65	77 	0.098
21	7.66	77 	0.103
22	7.67	77 	0.107
23	7.68	77 	0.112
24	7.69	77 	0.117
25	7.70	77 	0.122
26	7.71	77 	0.127
27	7.72	77 	0.132
28	7.73	77 	0.137
29	7.74	77 	0.142
30	7.75	78 	0.146
31	7.76	78 	0.151
32	7.77	78 	0.156
33	7.78	78 	0.161
34	7.79	78 	0.166
35	7.81	78 	0.171
36	7.82	78 	0.176
37	7.83	78 	0.181
38	7.84	78 	0.186
39	7.85	78 	0.190
40	7.86	79 	0.195
41	7.87	79 	0.200
42	7.88	79 	0.205
43	7.89	79 	0.210
44	7.90	79 	0.215
45	7.91	79 	0.220
46	7.92	79 	0.225
47	7.93	79 	0.229
48	7.94	79 	0.234
49	7.95	79 	0.239
50	7.96	80 	0.244
51	7.97	80 	0.249
52	7.98	80 	0.254
53	7.99	80 	0.259
54	8.00	80 	0.264
55	8.01	80 	0.269
56	8.02	80 	0.273
57	8.03	80 	0.278
58	8.04	80 	0.283
59	8.05	81 	0.288
60	8.06	81 	0.293
61	8.07	81 	0.298
62	8.08	81 	0.303
63	8.09	81 	0.308
64	8.10	81 	0.313
65	8.11	81 	0.317
66	8.12	81 	0.322
67	8.14	81 	0.327
68	8.15	81 	0.332
69	8.16	82 	0.337
70	8.17	82 	0.342
71	8.18	82 	0.347
72	8.19	82 	0.352
73	8.20	82 	0.356
74	8.21	82 	0.361
75	8.22	82 	0.366
76	8.23	82 	0.371
77	8.24	82 	0.376
78	8.25	82 	0.381
79	8.26	83 	0.386
80	8.27	83 	0.391
81	8.28	83 	0.396
82	8.29	83 	0.400
83	8.30	83 	0.405
84	8.31	83 	0.410
85	8.32	83 	0.415
86	8.33	83 	0.420
87	8.34	83 	0.425
88	8.35	84 	0.430
89	8.36	84 	0.435
90	8.37	84 	0.439
91	8.38	84 	0.444
92	8.39	84 	0.449
93	8.40	84 	0.454
94	8.41	84 	0.459
95	8.42	84 	0.464
96	8.43	84 	0.469
97	8.44	84 	0.474
98	8.45	85 	0.479
99	8.46	85 	0.483
100	8.48	85 	0.488
101	8.49	85 	0.493
102	8.50	85 	0.498
103	8.51	85 	0.503
104	8.52	85 	0.508
105	8.53	85 	0.513
106	8.54	85 	0.518
107	8.55	85 	0.522
108	8.56	86 	0.527
109	8.57	86 	0.532
110	8.58	86 	0.537
